date,temperature,pressure,pattern,wind_speed,wind_degree
2015-06-28,0,0,0,0,0
2015-06-29,74.30000000000001,0,0,4.1,0
2015-06-30,76.46000000000001,0,0,7.2,0
2015-07-01,74.12,0,0,3.9,0
2015-07-02,68.72,0,0,6.5,0
2015-07-03,69.98,0,0,3.3,0
2015-07-04,74.48,0,0,9.2,0
2015-07-05,74.12,0,0,7.7,0
2015-07-06,60.8,0,0,3.5,0
2015-07-07,61.34,0,0,1.7,0
2015-07-08,60.08,0,0,4.2,0
2015-07-09,62.42,0,0,6.0,0
2015-07-10,71.78,0,0,9.4,0
2015-07-11,70.88,0,0,5.9,0
2015-07-12,75.92,0,0,6.0,0
2015-07-13,71.96000000000001,0,0,8.3,0
2015-07-14,69.98,0,0,6.2,0
2015-07-15,69.62,0,0,4.3,0
2015-07-16,71.6,0,0,8.2,0
2015-07-17,76.64,0,0,11.1,0
2015-07-18,69.25999999999999,0,0,5.2,0
2015-07-19,67.28,0,0,4.8,0
2015-07-20,71.96000000000001,0,0,7.7,0
2015-07-21,66.92,0,0,8.0,0
2015-07-22,72.5,0,0,6.2,0
2015-07-23,78.25999999999999,0,0,9.0,0
2015-07-24,75.2,0,0,7.2,0
2015-07-25,78.44,0,0,3.9,0
2015-07-26,74.84,0,0,6.1,0
2015-07-27,76.64,0,0,6.6,0
2015-07-28,73.4,0,0,10.9,0
2015-07-29,70.7,0,0,6.6,0
2015-07-30,74.30000000000001,0,0,5.3,0
2015-07-31,0,0,0,0,0
2015-08-01,75.74000000000001,0,0,3.6,0
2015-08-02,75.56,0,0,7.0,0
2015-08-03,74.12,0,0,5.5,0
2015-08-04,73.22,0,0,11.5,0
2015-08-05,0,0,0,0,0
2015-08-06,0,0,0,0,0
2015-08-07,73.75999999999999,0,0,6.4,0
2015-08-08,72.68,0,0,5.6,0
2015-08-09,74.66,0,0,5.7,0
2015-08-10,71.42,0,0,6.5,0
2015-08-11,71.06,0,0,8.1,0
2015-08-12,76.28,0,0,4.2,0
2015-08-13,0,0,0,0,0
2015-08-14,78.25999999999999,0,0,6.4,0
2015-08-15,77.72,0,0,5.3,0
2015-08-16,73.94,0,0,8.3,0
2015-08-17,67.46000000000001,0,0,6.3,0
2015-08-18,61.88,0,0,8.4,0
2015-08-19,58.1,0,0,5.6,0
2015-08-20,68.72,0,0,5.9,0
2015-08-21,74.66,0,0,11.0,0
2015-08-22,75.02,0,0,11.1,0
2015-08-23,0,0,0,0,0
2015-08-24,70.34,0,0,2.4,0
2015-08-25,77.36,0,0,5.1,0
2015-08-26,75.2,0,0,4.7,0
2015-08-27,72.86,0,0,9.7,0
2015-08-28,72.32,0,0,6.7,0
2015-08-29,74.12,0,0,5.3,0
2015-08-30,77.53999999999999,0,0,6.7,0
2015-08-31,73.03999999999999,0,0,6.1,0
2015-09-01,71.6,0,0,6.2,0
2015-09-02,77.9,0,0,7.4,0
2015-09-03,69.80000000000001,0,0,6.2,0
2015-09-04,68.53999999999999,0,0,4.6,0
2015-09-05,73.94,0,0,5.6,0
2015-09-06,73.03999999999999,0,0,5.9,0
2015-09-07,68.18,0,0,10.9,0
2015-09-08,69.62,0,0,9.4,0
2015-09-09,70.52,0,0,5.6,0
2015-09-10,70.16,0,0,8.2,0
2015-09-11,62.78,0,0,5.5,0
2015-09-12,68.0,0,0,3.4,0
2015-09-13,75.2,0,0,10.8,0
2015-09-14,76.1,0,0,6.7,0
2015-09-15,75.92,0,0,17.1,0
2015-09-16,72.86,0,0,7.2,0
2015-09-17,64.03999999999999,0,0,4.8,0
2015-09-18,0,0,0,0,0
2015-09-19,58.82,0,0,3.8,0
2015-09-20,65.30000000000001,0,0,5.9,0
2015-09-21,69.62,0,0,5.7,0
2015-09-22,67.1,0,0,7.1,0
2015-09-23,0,0,0,0,0
2015-09-24,67.82,0,0,5.0,0
2015-09-25,66.2,0,0,2.5,0
2015-09-26,66.2,0,0,2.9,0
2015-09-27,73.03999999999999,0,0,5.6,0
2015-09-28,66.92,0,0,6.3,0
2015-09-29,63.68000000000001,0,0,6.6,0
2015-09-30,64.94,0,0,3.8,0
2015-10-01,0,0,0,0,0
2015-10-02,0,0,0,0,0
2015-10-03,0,0,0,0,0
2015-10-04,50.540000000000006,0,0,3.6,0
2015-10-05,56.3,0,0,1.1,0
2015-10-06,54.32,0,0,2.6,0
2015-10-07,59.18,0,0,3.8,0
2015-10-08,62.6,0,0,8.3,0
2015-10-09,58.46,0,0,1.0,0
2015-10-10,64.94,0,0,2.8,0
2015-10-11,70.34,0,0,14.8,0
2015-10-12,60.44,0,0,6.3,0
2015-10-13,66.02,0,0,6.9,0
2015-10-14,64.22,0,0,4.0,0
2015-10-15,56.480000000000004,0,0,4.8,0
2015-10-16,51.620000000000005,0,0,2.3,0
